"filename", "language", "YAML", "Dart", "JSON", "C++", "Markdown", "Swift", "XML", "HTML", "Properties", "Groovy", "comment", "blank", "total"
"c:\Users\Josep\OneDrive\Desktop\auth_2024-main\README.md", "Markdown", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\Josep\OneDrive\Desktop\auth_2024-main\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"c:\Users\Josep\OneDrive\Desktop\auth_2024-main\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 12, 63
"c:\Users\Josep\OneDrive\Desktop\auth_2024-main\android\app\google-services.json", "JSON", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29
"c:\Users\Josep\OneDrive\Desktop\auth_2024-main\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 4, 2, 11
"c:\Users\Josep\OneDrive\Desktop\auth_2024-main\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 11, 1, 46
"c:\Users\Josep\OneDrive\Desktop\auth_2024-main\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"c:\Users\Josep\OneDrive\Desktop\auth_2024-main\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"c:\Users\Josep\OneDrive\Desktop\auth_2024-main\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"c:\Users\Josep\OneDrive\Desktop\auth_2024-main\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"c:\Users\Josep\OneDrive\Desktop\auth_2024-main\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 1, 8
"c:\Users\Josep\OneDrive\Desktop\auth_2024-main\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 4, 9, 41
